0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:20:54 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 5145
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:21:57 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:11 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:11 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:11 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:12 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:12 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:22:12 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
